time,ax,ay,az,atotal
2022-08-11 17:49:34.4540,-0.19,-1.3,0.65,1.46
2022-08-11 17:49:34.4630,-0.17,-1.82,0.73,1.96
2022-08-11 17:49:34.4730,-0.08,-2.12,0.88,2.29
2022-08-11 17:49:34.4840,0.16,-1.78,0.95,2.02
2022-08-11 17:49:34.4930,0.24,-1.39,0.91,1.67
2022-08-11 17:49:34.5030,0.16,-1.38,0.78,1.59
2022-08-11 17:49:34.5140,0.22,-1.4,0.63,1.55
2022-08-11 17:49:34.5240,0.39,-1.03,0.54,1.22
2022-08-11 17:49:34.5320,0.49,-0.42,0.52,0.82
2022-08-11 17:49:34.5490,0.54,0.04,0.55,0.77
2022-08-11 17:49:34.5540,0.56,0.76,0.56,1.09
2022-08-11 17:49:34.5620,0.44,1.42,0.54,1.58
2022-08-11 17:49:34.5730,0.21,1.49,0.42,1.56
2022-08-11 17:49:34.5820,0.1,1.31,0.17,1.32
2022-08-11 17:49:34.5910,0.1,1.31,-0.01,1.31
2022-08-11 17:49:34.6020,0.25,1.4,-0.05,1.42
2022-08-11 17:49:34.6130,0.32,1.64,-0.06,1.67
2022-08-11 17:49:34.6220,0.15,1.38,-0.08,1.39
2022-08-11 17:49:34.6320,-0.02,0.82,-0.1,0.82
2022-08-11 17:49:34.6480,-0.09,0.26,-0.16,0.31
2022-08-11 17:49:34.6530,-0.06,-0.35,-0.31,0.47
2022-08-11 17:49:34.6610,0.05,-0.72,-0.32,0.78
2022-08-11 17:49:34.6710,0.25,-0.61,-0.02,0.65
2022-08-11 17:49:34.6820,0.39,-0.04,0.29,0.48
2022-08-11 17:49:34.6920,0.45,0.2,0.24,0.54
2022-08-11 17:49:34.7010,0.36,0.09,0.01,0.37
2022-08-11 17:49:34.7120,0.31,-0.08,-0.07,0.32
2022-08-11 17:49:34.7220,0.17,-0.1,0.21,0.28
2022-08-11 17:49:34.7310,0.06,0.01,0.44,0.44
2022-08-11 17:49:34.7500,0.04,0.22,0.44,0.49
2022-08-11 17:49:34.7550,-0.02,0.46,0.34,0.57
2022-08-11 17:49:34.7620,-0.18,0.53,0.25,0.61
2022-08-11 17:49:34.7710,-0.36,0.46,0.25,0.63
2022-08-11 17:49:34.7800,-0.52,0.46,0.39,0.79
2022-08-11 17:49:34.7910,-0.39,0.75,0.53,0.99
2022-08-11 17:49:34.8010,-0.17,1.29,0.57,1.42
