time,ax,ay,az,atotal
2022-08-11 17:53:55.9620,1.5,2.12,-0.3,2.61
2022-08-11 17:53:55.9700,1.52,2.87,-0.71,3.32
2022-08-11 17:53:55.9820,1.14,3.16,-0.9,3.47
2022-08-11 17:53:55.9900,0.42,3.16,-1.06,3.35
2022-08-11 17:53:56.0000,-0.14,2.81,-1.44,3.16
2022-08-11 17:53:56.0130,-0.54,2.46,-1.76,3.07
2022-08-11 17:53:56.0300,-0.72,2.08,-2.08,3.02
2022-08-11 17:53:56.0330,-0.79,1.65,-2.23,2.88
2022-08-11 17:53:56.0400,-0.61,1.44,-2.23,2.72
2022-08-11 17:53:56.0510,-0.26,1.47,-2.12,2.59
2022-08-11 17:53:56.0610,0.14,1.42,-2.1,2.53
2022-08-11 17:53:56.0700,0.3,1.28,-1.99,2.38
2022-08-11 17:53:56.0810,0.23,1.02,-1.92,2.18
2022-08-11 17:53:56.0910,0.14,0.5,-1.93,1.99
2022-08-11 17:53:56.1000,0.17,0.05,-1.77,1.77
2022-08-11 17:53:56.1120,0.23,-0.17,-1.52,1.54
2022-08-11 17:53:56.1330,0.34,-0.28,-1.39,1.45
2022-08-11 17:53:56.1360,0.45,-0.36,-1.18,1.31
2022-08-11 17:53:56.1400,0.41,-0.5,-0.86,1.07
2022-08-11 17:53:56.1500,0.34,-0.64,-0.43,0.84
2022-08-11 17:53:56.1600,0.34,-0.47,0.04,0.58
2022-08-11 17:53:56.1690,0.38,-0.2,0.4,0.58
2022-08-11 17:53:56.1810,0.43,-0.03,0.57,0.71
2022-08-11 17:53:56.1910,0.54,0.19,0.62,0.84
2022-08-11 17:53:56.1990,0.58,0.41,0.66,0.96
2022-08-11 17:53:56.2090,0.46,0.42,0.71,0.94
2022-08-11 17:53:56.2330,0.26,0.02,0.77,0.81
2022-08-11 17:53:56.2350,-0.16,-0.55,1.06,1.2
2022-08-11 17:53:56.2390,-0.47,-1.02,1.37,1.77
2022-08-11 17:53:56.2490,-0.49,-1.19,1.5,1.97
2022-08-11 17:53:56.2590,-0.27,-1.01,1.49,1.82
2022-08-11 17:53:56.2700,0.0,-0.68,1.5,1.64
2022-08-11 17:53:56.2790,0.25,-0.4,1.39,1.46
2022-08-11 17:53:56.2900,0.49,-0.14,1.19,1.29
2022-08-11 17:53:56.2980,0.57,-0.04,0.99,1.14
2022-08-11 17:53:56.3080,0.43,-0.22,0.76,0.9
2022-08-11 17:53:56.3180,0.28,-0.53,0.55,0.81
2022-08-11 17:53:56.3340,0.29,-0.65,0.37,0.8
2022-08-11 17:53:56.3380,0.38,-0.32,0.29,0.57
2022-08-11 17:53:56.3480,0.39,0.05,0.23,0.45
2022-08-11 17:53:56.3590,0.47,0.29,0.1,0.56
2022-08-11 17:53:56.3680,0.54,0.34,-0.13,0.65
2022-08-11 17:53:56.3790,0.4,0.06,-0.27,0.48
2022-08-11 17:53:56.3890,0.2,-0.41,-0.33,0.56
2022-08-11 17:53:56.3970,0.15,-0.8,-0.34,0.88
2022-08-11 17:53:56.4090,0.27,-0.96,-0.26,1.03
2022-08-11 17:53:56.4170,0.46,-0.75,-0.02,0.88
2022-08-11 17:53:56.4320,0.54,-0.18,0.25,0.62
2022-08-11 17:53:56.4370,0.7,0.18,0.34,0.79
2022-08-11 17:53:56.4470,0.78,0.71,0.42,1.13
2022-08-11 17:53:56.4580,0.61,1.02,0.57,1.31
2022-08-11 17:53:56.4680,0.24,0.8,0.56,1.0
2022-08-11 17:53:56.4770,0.0,0.63,0.43,0.76
2022-08-11 17:53:56.4870,-0.07,0.64,0.26,0.69
2022-08-11 17:53:56.4970,0.05,0.66,0.3,0.72
2022-08-11 17:53:56.5070,0.13,0.83,0.52,0.98
2022-08-11 17:53:56.5180,0.06,0.8,0.78,1.11
2022-08-11 17:53:56.5330,0.0,0.76,0.95,1.21
2022-08-11 17:53:56.5360,0.15,0.76,1.0,1.26
2022-08-11 17:53:56.5470,0.07,0.72,1.11,1.32
2022-08-11 17:53:56.5580,0.14,0.48,1.05,1.16
2022-08-11 17:53:56.5680,0.28,0.31,1.14,1.21
2022-08-11 17:53:56.5760,0.36,0.13,1.19,1.25
2022-08-11 17:53:56.5880,0.5,0.04,0.97,1.09
2022-08-11 17:53:56.5960,0.59,0.26,0.77,1.0
2022-08-11 17:53:56.6060,0.68,0.53,0.59,1.04
2022-08-11 17:53:56.6160,0.58,0.44,0.33,0.79
2022-08-11 17:53:56.6320,0.23,-0.13,0.03,0.26
2022-08-11 17:53:56.6360,0.29,-0.83,-0.4,0.96
2022-08-11 17:53:56.6460,0.45,-1.45,-0.63,1.64
2022-08-11 17:53:56.6570,0.65,-1.83,-0.78,2.09
2022-08-11 17:53:56.6650,0.92,-1.84,-0.87,2.23
2022-08-11 17:53:56.6750,1.07,-1.71,-0.9,2.2
2022-08-11 17:53:56.6870,1.07,-1.33,-0.81,1.88
2022-08-11 17:53:56.6950,1.0,-0.64,-0.66,1.35
2022-08-11 17:53:56.7050,0.85,-0.33,-0.66,1.12
2022-08-11 17:53:56.7150,0.45,0.9,-0.58,1.16
2022-08-11 17:53:56.7350,-0.11,2.3,-0.76,2.42
2022-08-11 17:53:56.7380,-0.01,1.02,-1.31,1.66
2022-08-11 17:53:56.7460,0.87,-0.58,-0.96,1.41
2022-08-11 17:53:56.7560,1.5,-0.87,-0.27,1.75
2022-08-11 17:53:56.7660,1.23,-0.83,0.33,1.52
2022-08-11 17:53:56.7760,0.55,-0.87,0.75,1.27
2022-08-11 17:53:56.7850,0.27,-0.97,1.06,1.46
2022-08-11 17:53:56.7950,0.11,-0.34,1.26,1.3
2022-08-11 17:53:56.8050,0.29,0.44,1.15,1.26
2022-08-11 17:53:56.8150,0.47,0.53,0.72,1.01
2022-08-11 17:53:56.8340,0.47,0.26,0.49,0.72
2022-08-11 17:53:56.8370,0.17,-0.5,0.31,0.61
2022-08-11 17:53:56.8440,-0.04,-1.4,0.1,1.4
2022-08-11 17:53:56.8550,-0.3,-1.68,0.08,1.7
2022-08-11 17:53:56.8640,-0.62,-1.38,0.21,1.52
2022-08-11 17:53:56.8750,-0.77,-1.16,0.35,1.43
2022-08-11 17:53:56.8850,-0.52,-0.99,0.38,1.18
2022-08-11 17:53:56.8950,-0.01,-1.29,0.5,1.38
2022-08-11 17:53:56.9040,0.13,-1.58,0.77,1.76
